ID,MARCA,NOMBRE,CATEGORIA WEB,COMPATIBILIDAD,DESCRIPCIÓN
BRDK1202,BROTHER,ETIQUETA BROTHER DK1202 BLANCA,OTROS,,
BRDK1209,BROTHER,ETIQUETA BROTHER DK1209 BLANCA,OTROS,,
BRDK2205,BROTHER,CINTA BROTHER DK2205 BLANCA,OTROS,,
BRDK2210,BROTHER,Cinta Etiquetadora Brother DK2210 Papel Blanco Continuo 29mmx30.4m,OTROS,,
BRDK2251,BROTHER,CINTA BROTHER DK2251 NEG ROJO SOBRE BCO,OTROS,,
BRDR1060,BROTHER,TAMBOR BROTHER ORIGINAL DR1060 NEGRO,OTROS,,
BRDR229CL,BROTHER,"﻿Tambor Brother DR229CL Negro, 20.000 Páginas - 4 Piezas",OTROS,,
BRDR420,BROTHER,TAMBOR BROTHER ORIGINAL DR420 NEGRO,OTROS,,
BRDR620,BROTHER,TAMBOR BROTHER ORIGINAL DR620 NEGRO,OTROS,,
BRDR630,BROTHER,TAMBOR BROTHER ORIGINAL DR630 NEGRO,OTROS,,
BRDR720,BROTHER,TAMBOR BROTHER ORIGINAL DR720 NEGRO,OTROS,,
BRDR730,BROTHER,TAMBOR BROTHER ORIGINAL DR730 NEGRO,OTROS,,
BRDR820,BROTHER,TAMBOR BROTHER ORIGINAL DR820 NEGRO,OTROS,,
BRDR830,BROTHER,"Tambor Brother DR830, negro, rendimiento aprox. 15,000 págs.",OTROS,,
BRDR890,BROTHER,"Tambor Brother DR-890 Negro, 50.000 Páginas",OTROS,,
BRDR920,BROTHER,"Tambor Brother DR920 negro, rendimiento aproximado 75,000 páginas",OTROS,,
BRDRB022,BROTHER,TAMBOR BROTHER ORIGINAL DRB022 NEGRO,OTROS,,
BRLC103BK,BROTHER,CARTUCHO TINTA BROTHER LC103 NEGRO,OTROS,,
BRLC103C,BROTHER,CARTUCHO TINTA BROTHER LC103 CYAN,OTROS,,
BRLC103M,BROTHER,CARTUCHO TINTA BROTHER LC103 MAGENTA,OTROS,,
BRLC103Y,BROTHER,CARTUCHO TINTA BROTHER LC103 AMARILLO,OTROS,,
BRLC109BK,BROTHER,CARTUCHO TINTA BROTHER LC109 NEGRO,OTROS,,
BRLC203C,BROTHER,"Cartucho Brother LC203C Cian, 550 Páginas",OTROS,,
BRLC3017BK,BROTHER,TINTA BROTHER LC3017BK NEGRO ALTO RENDIMIENTO,OTROS,,
BRLC3017C,BROTHER,CARTUCHO TINTA BROTHER LC3017 CYAN,OTROS,,
BRLC3017M,BROTHER,CARTUCHO DE TINTA MAGENTA DE 550 PAGINAS,OTROS,,
BRLC3017Y,BROTHER,TINTA BROTHER LC3017Y AMARILLO ALTO RENDIMIENTO,OTROS,,
BRLC3019BK,BROTHER,CARTUCHO TINTA BROTHER LC3019 NEGRO,OTROS,,
BRLC3019C,BROTHER,CARTUCHO TINTA BROTHER LC3019 CYAN,OTROS,,
BRLC3019M,BROTHER,CARTUCHO TINTA BROTHER LC3019 MAGENTA,OTROS,,
BRLC3019Y,BROTHER,CARTUCHO TINTA BROTHER LC3019 AMARILLO,OTROS,,
BRLC402BK,BROTHER,Cartucho brother de tinta negra LC402BKS.,OTROS,,
BRLC402C,BROTHER,Cartucho brother de tinta cian LC402CS .,OTROS,,
BRLC402M,BROTHER,Cartucho brother de tinta magenta LC402MS,OTROS,,
BRLC402XLBK,BROTHER,CARTUCHO DE TINTA BROTHER LC402 XL NEGRO,OTROS,,
BRLC402XLC,BROTHER,CARTUCHO DE TINTA BROTHER LC402 XL CYAN,OTROS,,
BRLC402XLM,BROTHER,CARTUCHO DE TINTA BROTHER LC402XL MAGENT,OTROS,,
BRLC402XLY,BROTHER,CARTUCHO DE TINTA BROTHER LC402XL AMARIL,OTROS,,
BRLC402Y,BROTHER,Cartucho brother de tinta amarilla LC402YS,OTROS,,
BRLC505C,BROTHER,CARTUCHO TINTA BROTHER LC505 CYAN,OTROS,,
BRLC505M,BROTHER,CARTUCHO TINTA BROTHER LC505 MAGENTA,OTROS,,
BRLC505Y,BROTHER,CARTUCHO TINTA BROTHER LC505 AMARILLO,OTROS,,
BRLC509BK,BROTHER,CARTUCHO TINTA BROTHER LC509 NEGRO,OTROS,,
BRLC75BK,BROTHER,CARTUCHO TINTA BROTHER LC75 NEGRO,OTROS,,
BRLC75C,BROTHER,CARTUCHO TINTA BROTHER LC75 CYAN,OTROS,,
BRLC75M,BROTHER,CARTUCHO TINTA BROTHER LC75 MAGENTA,OTROS,,
BRLC75Y,BROTHER,CARTUCHO TINTA BROTHER LC75 AMARILLO,OTROS,,
BRLC79BK,BROTHER,CARTUCHO TINTA BROTHER LC79 NEGRO,OTROS,,
BRLC79C,BROTHER,CARTUCHO TINTA BROTHER LC79 CYAN,OTROS,,
BRLC79M,BROTHER,CARTUCHO TINTA BROTHER LC79 MAGENTA,OTROS,,
BRLC79Y,BROTHER,CARTUCHO TINTA BROTHER LC79 AMARILLO,OTROS,,
BRM231,BROTHER,CINTA BROTHER M231 NEGRO/BLANCO,OTROS,,
BRMFCJ6940DW,BROTHER,MULTIFUNCIONAL BROTHER MFCJ6940DW TINTA,OTROS,,
BRMFCL3780CDW,BROTHER,"Multifuncional Brother MFCL3780CDW, Color, LED, Inalámbrico, Print/Scan/Copy/Fax",OTROS,,
BRMFCL5915DW,BROTHER,Multifuncional Brother Valor Láser Monocromático Red Inalámbrica e Impresión Duplex Ciclo Mensual 90000 Páginas,OTROS,,
BRMFCT4500DW,BROTHER,MULTIFUNCIONAL BROTHER MFCT4500DW,OTROS,,
BRMFCT930DW,BROTHER,MULTIFUNCIONAL BROTHER DE INYECCION DE TINTA A COLOR MFC-T930DW,OTROS,,
BRPRINKE,BROTHER,Tinta brother para reentintado de color azul. 20cc PRINKE,OTROS,,
BRPTD210,BROTHER,ROTULADOR BROTHER PTD210,OTROS,,
BRPTM95,BROTHER,ROTULADOR BROTHER PTM95,OTROS,,
BRQL800,BROTHER,IMPRESORA ETIQUETAS BROTHER QL800,OTROS,,
BRTN1060,BROTHER,TONER BROTHER ORIGINAL TN1060 NEGRO,OTROS,,
BRTN115M,BROTHER,TONER BROTHER ORIGINAL TN115 MAGENTA,OTROS,,
BRTN15,BROTHER,TONER BROTHER ORIGINAL TN15 NEGRO,OTROS,,
BRTN17,BROTHER,"TONER BROTHER DE SUPER ALTO RENDIMIENTO,NEGRO, TN17",OTROS,,
BRTN221C,BROTHER,TONER BROTHER ORIGINAL TN221 CYAN,OTROS,,
BRTN221M,BROTHER,TONER BROTHER ORIGINAL TN221 MAGENTA,OTROS,,
BRTN223BK,BROTHER,TONER BROTHER ORIGINAL TN223 NEGRO,OTROS,,
BRTN223C,BROTHER,TONER BROTHER ORIGINAL TN223 CYAN,OTROS,,
BRTN223M,BROTHER,TONER BROTHER ORIGINAL TN223 MAGENTA,OTROS,,
BRTN223Y,BROTHER,TONER BROTHER ORIGINAL TN223 AMARILLO,OTROS,,
BRTN227BK,BROTHER,TONER BROTHER ORIGINAL TN227 NEGRO,OTROS,,
BRTN227C,BROTHER,TONER BROTHER ORIGINAL TN227 CYAN,OTROS,,
BRTN227M,BROTHER,TONER BROTHER ORIGINAL TN227 MAGENTA,OTROS,,
BRTN227Y,BROTHER,TONER BROTHER ORIGINAL TN227 AMARILLO,OTROS,,
BRTN229BK,BROTHER,"TONER BROTHER DE RENDIMIENTO ESTANDAR, NEGRO, 1500 PAGINAS",OTROS,,
BRTN229C,BROTHER,"TONER BROTHER DE RENDIMIENTO ESTANDAR, CIAN, 1500 PAGINAS, TN229C",OTROS,,
BRTN229M,BROTHER,"TONER BROTHER DE RENDIMIENTO ESTANDAR, MAGENTA, 1500 PAGINAS, TN229M",OTROS,,
BRTN229XLBK,BROTHER,"TONER BROTHER DE ALTO RENDIMIENTO, NEGRO, 3000 PAGINAS, TN229XLBK",OTROS,,
BRTN229XLC,BROTHER,"TONER BROTHER DE ALTO RENDIMIENTO, CIAN 2300 PAGINAS, TN229XLC",OTROS,,
BRTN229XLM,BROTHER,"TONER BROTHER DE ALTO RENDIMIENTO, MAGENTA 2300 PAGINAS, TN229XLM",OTROS,,
BRTN229XLY,BROTHER,"TONER BROTHER DE ALTO RENDIMIENTO, AMARILLO 2300 PAGINAS, TN229XLY",OTROS,,
BRTN229Y,BROTHER,"TONER BROTHER DE RENDIMIENTO ESTANDAR, AMARILLO, 1500 PAGINAS, TN229Y",OTROS,,
BRTN250,BROTHER,TONER BROTHER ORIGINAL TN250 NEGRO,OTROS,,
BRTN336C,BROTHER,TONER BROTHER ORIGINAL TN336 CYAN,OTROS,,
BRTN336M,BROTHER,TONER BROTHER ORIGINAL TN336 MAGENTA,OTROS,,
BRTN336Y,BROTHER,TONER BROTHER ORIGINAL TN336 AMARILLO,OTROS,,
BRTN410,BROTHER,TONER BROTHER ORIGINAL TN410 NEGRO,OTROS,,
BRTN420,BROTHER,TONER BROTHER ORIGINAL TN420 NEGRO,OTROS,,
BRTN433BK,BROTHER,TONER BROTHER ORIGINAL TN433 NEGRO,OTROS,,
BRTN433C,BROTHER,TONER BROTHER ORIGINAL TN433 CYAN,OTROS,,
BRTN433M,BROTHER,TONER BROTHER ORIGINAL TN433 MAGENTA,OTROS,,
BRTN433Y,BROTHER,TONER BROTHER ORIGINAL TN433 AMARILLO,OTROS,,
BRTN436BK,BROTHER,TONER BROTHER ORIGINAL TN436 NEGRO,OTROS,,
BRTN436C,BROTHER,TONER BROTHER ORIGINAL TN436 CYAN,OTROS,,
BRTN436M,BROTHER,TONER BROTHER ORIGINAL TN436 MAGENTA,OTROS,,
BRTN436Y,BROTHER,TONER BROTHER ORIGINAL TN436 AMARILLO,OTROS,,
BRTN439BK,BROTHER,TONER BROTHER ORIGINAL TN439 NEGRO,OTROS,,
BRTN439C,BROTHER,TONER BROTHER ORIGINAL TN439 CYAN,OTROS,,
BRTN439M,BROTHER,TONER BROTHER ORIGINAL TN439 MAGENTA,OTROS,,
BRTN439Y,BROTHER,TONER BROTHER ORIGINAL TN439 AMARILLO,OTROS,,
BRTN450,BROTHER,TONER BROTHER ORIGINAL TN450 NEGRO,OTROS,,
BRTN630,BROTHER,TONER BROTHER ORIGINAL TN630 NEGRO,OTROS,,
BRTN660,BROTHER,TONER BROTHER ORIGINAL TN660 NEGRO,OTROS,,
BRTN720,BROTHER,TONER BROTHER ORIGINAL TN720 NEGRO,OTROS,,
BRTN730,BROTHER,TONER BROTHER ORIGINAL TN730NEGRO,OTROS,,
BRTN750,BROTHER,TONER BROTHER ORIGINAL TN750 NEGRO,OTROS,,
BRTN760,BROTHER,TONER BROTHER ORIGINAL TN760 NEGRO,OTROS,,
BRTN820,BROTHER,TONER BROTHER ORIGINAL TN820 NEGRO,OTROS,,
BRTN830,BROTHER,"Tóner Brother TN830 negro, rendimiento aproximado 1,200 páginas",OTROS,,
BRTN830XL,BROTHER,"Tóner Brother TN830XL negro, rendimiento aproximado 3,000 páginas",OTROS,,
BRTN850,BROTHER,TONER BROTHER ORIGINAL TN850 NEGRO,OTROS,,
BRTN880,BROTHER,TONER BROTHER ORIGINAL TN880 NEGRO,OTROS,,
BRTN880P,BROTHER,Tóner Brother TN880P Super Ultra Alto Rendimiento Negro,OTROS,,
BRTN890,BROTHER,TONER BROTHER ORIGINAL TN890 NEGRO,OTROS,,
BRTN920UXXL,BROTHER,TONER BROTHER VALOR TN920UXXL ULTRA ALTO RENDIMIENTO 18000 PAGINAS COLOR NEGRO,OTROS,,
BRTN920XL,BROTHER,"Tóner Brother TN920XL negro, rendimiento aproximado 6,000 páginas",OTROS,,
BRTN920XXL,BROTHER,"TONER BROTHER, SUPER ALTO RENDIMIENTO NEGRO, 11.000 PAGINAS, TN920XXL",OTROS,,
BRTNB022,BROTHER,TONER BROTHER ORIGINAL TNB022 NEGRO,OTROS,,
BRTZ131,BROTHER,CINTA BROTHER TZE131 NEGRO/TRANSPARENTE,OTROS,,
BRTZ231,BROTHER,CINTA BROTHER TZE231 NEGRO/BLANCO,OTROS,,
BRTZ241,BROTHER,CINTA BROTHER TZE241 BLANCO/NEGRO,OTROS,,
BRTZE141,BROTHER,CINTA BROTHER TZE141 NEGRO/TRANSPARENTE,OTROS,,
BRTZE221,BROTHER,"Cinta Brother TZE221 Negro en Blanco, 9mm x 8m",OTROS,,
BRTZE242,BROTHER,"Cinta Brother TZE242 Rojo en Blanco, 18mm x 8m",OTROS,,
BRTZE243,BROTHER,CINTA BROTHER TZE243 AZUL/ BLANCO,OTROS,,
BRTZE251,BROTHER,CINTA BROTHER TZE251 NEGRO/BLANCO,OTROS,,
BRTZE261,BROTHER,CINTA NEGRO SOBRE BLANCO 36MM X 8M,OTROS,,
BRTZE451,BROTHER,CINTA BROTHER TZE451 NEGRO/ROJO,OTROS,,
BRTZE641,BROTHER,CINTA BROTHER TZE641 NEGRO/AMARILLO,OTROS,,
BRTZE651,BROTHER,CINTA BROTHER TZE651 NEGRO/AMARILLO,OTROS,,
CA051BK,CANON,TONER CANON 051 NEGRO,OTROS,,
CA052H,CANON,TONER ORIGINAL CANON 052H NEGRO,OTROS,,
CA054,CANON,TONER ORIGINAL CANON 054 NEGRO,OTROS,,
CA054C,CANON,TONER ORIGINAL CANON 054 CYAN,OTROS,,
CA054M,CANON,TONER ORIGINAL CANON 054 MAGENTA,OTROS,,
CA054Y,CANON,TONER ORIGINAL CANON 054 AMARILLO,OTROS,,
CA057,CANON,TONER ORIGINAL CANON 057 NEGRO,OTROS,,
CA057H,CANON,Cartucho Canon para toner 057H negro,OTROS,,
CA1156C005AA,CANON,Cartucho de mantenimiento Canon MC-31,OTROS,,
CA1156C009AA,CANON,Cartucho de mantenimiento Canon MC-32 .,OTROS,,
CA120,CANON,TONER ORIGINAL CANON 120 NEGRO,OTROS,,
CA121,CANON,CARTUCHO CANON PARA TONER 121 NEGRO .,OTROS,,
CA137,CANON,TONER ORIGINAL CANON 137 NEGRO,OTROS,,
CA3115B001AA,CANON,"Canon Kit Cartucho y Papel KP-108IN, 108 Páginas de 4'' x 6'', 3 Cartuchos Color",OTROS,,
CA3418C004AA,CANON,Kit Canon cabezal tinta negra y color BH-10 + CH-10,OTROS,,
CA4589C001AA,CANON,Kit Mantenimiento Canon MC-G02 para Pixma G2160/G3160,OTROS,,
CA4628C001AA,CANON,Cartucho de mantenimiento Canon MC-G01 .,OTROS,,
CA4704C001AA,CANON,Tinta Canon GI-13 gris,OTROS,,
CA5699C001AA,CANON,Tinta Canon PFI-050 cyan,OTROS,,
CA5700C001AA,CANON,"Tanque de Tinta Canon PFI-050 Magenta, 70ml",OTROS,,
CA5701C001AA,CANON,"Tanque de Tinta Canon PFI-050 Amarillo, 70ml",OTROS,,
CACL146XLCLR,CANON,CARTUCHO TINTA CANON CL146 XL COLOR,OTROS,,
CACL211XL,CANON,CARTUCHO TINTA CANON CL211XL COLOR,OTROS,,
